z_obs pos_0[rad] pos_1[rad] mag_SDSS_u mag_SDSS_g mag_SDSS_r mag_SDSS_i mag_SDSS_z mag_J mag_H mag_K Mstar
0.545255 -0.00140630001559 -0.000682023668394 28.7799 27.5121 26.145 25.4389 25.1455 24.775 24.6183 24.5547 6.81986586325
0.529952 -0.00141640001559 -0.000516623668394 25.1539 24.7759 23.9006 23.3727 23.1465 22.7957 22.5916 22.5179 8.46001919571
0.589449 -0.000506200015594 -0.000268223668394 23.8204 23.0799 22.01 21.3649 21.0454 20.5496 20.2422 20.1001 9.83862087823
0.547111 -0.000513600015594 -0.000576623668394 24.618 24.4314 23.7653 23.1667 22.8452 22.3714 22.0872 21.9876 8.81366855642
0.542127 -0.00110440001559 0.000312756331606 26.4572 26.3565 25.7199 25.3504 25.2139 24.9762 24.8479 24.8255 6.83988723954
0.54341 -0.000626600015594 -0.000261623668394 23.2788 22.5012 21.417 20.7465 20.415 19.8929 19.5421 19.4015 10.121005898
0.591073 -0.000623600015594 -0.000287523668394 25.1681 25.277 24.9135 24.623 24.4931 24.2743 24.1555 24.1352 7.13791097021
0.544958 -0.000977000015594 -0.000666423668394 29.521 27.8579 26.4728 25.6808 25.3204 24.8958 24.7172 24.6382 6.97746119028
0.546513 -0.000663300015594 0.000353006331606 26.0692 25.4392 24.3441 23.6887 23.4147 23.0684 22.9239 22.8635 7.68111364763
0.544035 -0.00135060001559 -0.000672923668394 23.1518 22.9717 22.2569 21.8258 21.6592 21.377 21.2029 21.1551 9.3005680468
0.535465 -0.00135190001559 0.000170576331606 25.9416 24.0221 22.5066 21.6257 21.222 20.6875 20.3746 20.2333 8.98510248282
0.592334 -0.000615400015594 -0.000482723668394 26.0366 25.7787 24.9516 24.4546 24.2491 23.9448 23.7941 23.7455 7.65821700811
0.589847 -0.000942700015594 -0.000255523668394 25.8597 25.1285 23.9891 23.3103 23.0039 22.5698 22.3362 22.2395 8.62110060279
0.551707 -0.000910100015594 0.000154576331606 24.4037 24.2445 23.5859 23.1371 22.9372 22.6204 22.4365 22.3717 8.37216604727
0.542856 -0.000691000015594 0.000365616331606 25.5908 25.1866 24.2576 23.6327 23.3429 22.9119 22.6688 22.5815 8.10943164568
0.578238 -0.000920600015594 0.000170276331606 26.7626 26.6785 26.022 25.6762 25.5634 25.3906 25.3572 25.3965 6.4579972921
0.555723 -0.000675500015594 0.000208626331606 27.3068 26.8018 25.8007 25.2202 24.9718 24.6156 24.4361 24.3677 7.29022452785
0.54444 -0.00144020001559 -0.000606723668394 25.4056 25.1105 24.2698 23.7843 23.5952 23.3156 23.1784 23.1374 7.85456275371
0.530869 -0.000842900015594 -0.00100822366839 25.8293 25.6156 24.7846 24.2891 24.0762 23.7634 23.6236 23.5872 7.86903345127
0.530955 -0.000842900015594 -0.00116312366839 24.2974 23.2867 21.9892 21.2504 20.8481 20.1744 19.6537 19.4005 10.3421340401
0.547357 -0.000904500015594 -0.000782823668394 26.1698 25.8521 25.0449 24.6434 24.5104 24.2864 24.1761 24.1578 7.46301180075
0.547576 -0.000882000015594 -0.000992923668394 26.2693 25.529 24.2501 23.7358 23.5864 23.3747 23.2879 23.2887 7.17094662989
0.558177 -0.00135660001559 -0.000809423668394 25.6682 25.3514 24.6071 24.1828 24.0075 23.7089 23.5265 23.4649 8.02575279575
0.547546 -0.00136320001559 -0.000872423668394 26.2859 25.1543 23.79 23.0871 22.7428 22.2101 21.879 21.7132 7.99249047668
0.544798 -0.000937500015594 -0.000736123668394 25.4466 25.1292 24.2493 23.6622 23.3953 23.0049 22.8001 22.7318 7.87126906886
0.530166 -0.000640300015594 -0.000481423668394 28.1073 26.4639 24.991 24.1779 23.8176 23.3548 23.1156 23.0161 7.80076238863
0.543444 -0.00106940001559 7.13763316062e-05 26.9714 26.1658 24.9745 24.257 23.9412 23.5394 23.3591 23.2843 7.9708616918
0.54536 -0.000966500015594 -0.000887523668394 23.5736 22.9496 21.8766 21.1978 20.8818 20.4219 20.1579 20.0566 10.3844902149
0.536636 -0.000498300015594 -0.00126652366839 26.28 26.2891 25.764 25.4853 25.4114 25.2763 25.2526 25.3016 6.74454716493
0.544891 -0.00137480001559 -0.000765523668394 25.6336 23.4562 21.902 20.9368 20.4887 19.8918 19.4957 19.3189 9.02976148946
0.552327 -0.000941400015594 -0.00123342366839 25.4937 25.2489 24.5278 24.1599 24.0392 23.8203 23.6976 23.6772 7.09802346703
0.531778 -0.000828500015594 -0.00118912366839 25.8505 25.0099 23.8413 23.2686 22.9823 22.4578 22.0553 21.8608 7.3023589866
0.543267 -0.00107940001559 -0.000779123668394 24.6428 24.2526 23.3693 22.8172 22.5711 22.1945 21.9878 21.9105 8.83293189638
0.558412 -0.00114240001559 -0.000771623668394 27.3404 26.2614 24.9146 24.2146 23.8843 23.3832 23.0722 22.9334 7.8757035173
0.530008 -0.00110810001559 -0.00120352366839 26.9339 26.333 25.2572 24.5847 24.2726 23.8333 23.5999 23.5137 7.47535663662
0.590725 -0.000753800015594 -0.00110142366839 25.4657 24.9067 23.8828 23.2771 23.009 22.6477 22.4816 22.4049 8.15292626415
0.591139 -0.000718800015594 -0.00132522366839 25.5833 24.6594 23.4656 22.7572 22.3891 21.8254 21.4652 21.2951 9.06221414151
0.59066 -0.000615300015594 -0.00116042366839 28.0901 27.4486 26.3259 25.7135 25.4607 25.1403 25.0194 24.9797 7.27059405922
0.55971 -0.000615700015594 -0.00140642366839 24.5929 24.2593 23.4407 22.962 22.7645 22.4387 22.241 22.1762 8.67812986879
0.532788 -0.00144080001559 -0.00127362366839 27.0509 26.9439 26.2569 25.9107 25.8042 25.644 25.6367 25.6988 6.1556347515
0.531004 -0.000725800015594 -0.00143152366839 26.993 26.4099 25.3599 24.7007 24.3983 23.985 23.782 23.6997 7.72121001395
0.545821 -0.00144560001559 -0.000790623668394 22.9314 23.0081 22.6048 22.472 22.5268 22.5694 22.6373 22.7979 7.57431002818
0.545377 -0.00144080001559 -0.000909423668394 25.5987 23.7799 22.279 21.3031 20.8433 20.2451 19.9238 19.8137 10.2240471297
0.545514 -0.00142590001559 -0.000746823668394 21.3725 20.9769 20.0947 19.4407 19.1138 18.6169 18.2843 18.1653 10.791695171
0.531868 -0.00142370001559 -0.000872623668394 25.8973 24.9496 23.692 22.9685 22.6338 22.1558 21.8788 21.7648 8.52422798504
0.707101 0.000270399984406 -0.00142882366839 25.3479 25.2827 24.8164 24.136 23.9151 23.5761 23.3713 23.3127 8.14674684561
0.706809 0.000108999984406 -0.000885823668394 26.8675 26.5775 25.9957 25.3264 25.1944 24.9586 24.7761 24.7571 6.75148921055
0.660429 -0.000402700015594 -0.00127992366839 26.6202 26.6014 26.2277 25.6439 25.6175 25.5656 25.5323 25.6601 6.76681273006
0.691627 -7.31000155939e-05 -0.00128742366839 28.1399 26.2102 24.5661 23.4263 22.9048 22.2788 21.9132 21.7756 8.52271168047
0.688019 0.000235499984406 -0.000935223668394 24.1065 23.8573 23.2727 22.5478 22.2955 21.8964 21.6135 21.5139 9.44204893939
0.667007 0.000202799984406 -0.00136722366839 26.6599 26.515 25.9706 25.2628 25.0339 24.6845 24.4631 24.3998 7.92718392963
0.659021 0.000253199984406 0.000486536331606 26.0486 25.5153 24.5395 23.6266 23.2759 22.8009 22.515 22.4083 8.57814643782
0.718049 5.67999844061e-05 0.00106913633161 23.9086 23.5982 22.9773 22.2481 22.0112 21.6213 21.3304 21.2292 9.09234529384
0.656607 0.000347399984406 0.00105896633161 25.4172 24.9133 24.0969 23.2719 22.9237 22.4002 22.0342 21.8807 9.05496096932
0.718279 0.000375699984406 0.000705786331606 25.5111 25.3606 24.8239 24.1561 24.0518 23.8797 23.7564 23.783 8.01610747848
0.655544 -0.000201500015594 0.00138678633161 24.5176 23.8639 22.8507 21.9609 21.6171 21.0684 20.617 20.4106 9.46543127389
0.703528 -0.000207100015594 0.00123029633161 24.3617 24.4295 24.191 23.6791 23.5659 23.3464 23.1853 23.1611 8.39046257385
0.70777 0.000442299984406 0.000776626331606 25.5393 25.4473 24.9611 24.3125 24.1939 24.004 23.888 23.9132 7.02028592727
0.718455 7.45999844061e-05 0.00109558633161 25.6677 25.5642 25.0392 24.337 24.1603 23.8899 23.727 23.7017 8.08897148196
0.717639 -0.000232500015594 0.00141886633161 26.0776 25.8215 25.0642 24.2213 23.9461 23.5598 23.3202 23.2571 8.04891742809
0.717617 -0.000250500015594 0.00127826633161 26.1755 26.3 26.2111 25.8491 25.9503 26.0638 26.1394 26.4078 6.77213758326
0.701508 0.000637099984406 0.00141662633161 26.8364 26.5303 25.856 25.0965 24.8623 24.5141 24.3074 24.251 7.37646803566
0.698798 0.000269399984406 0.00112419633161 28.0964 27.5616 26.6161 25.7636 25.5899 25.3714 25.2934 25.3738 6.33413943406
0.707174 0.000542999984406 0.000485816331606 26.1163 26.1616 25.9104 25.4149 25.4373 25.4433 25.4259 25.5682 6.16194690935
0.65557 0.000500799984406 0.000764666331606 26.2496 26.295 26.0688 25.597 25.6705 25.7581 25.8135 26.0764 6.90663773222
0.710091 0.000500999984406 0.000598306331606 27.4782 26.8977 25.9519 25.0865 24.8137 24.3812 24.0473 23.9276 7.47691090139
0.658904 0.000263999984406 0.000656126331606 27.9745 27.3002 26.2316 25.2917 24.8963 24.3397 23.9778 23.8294 7.65223816285
0.719108 -0.000340700015594 0.000701786331606 26.8752 26.7443 26.1548 25.4307 25.2592 25.012 24.8935 24.9147 6.7952196904
0.71439 -0.000383500015594 -0.000874923668394 26.2916 26.3293 26.0452 25.5153 25.4893 25.4301 25.4147 25.5549 7.13098354571
0.69172 -1.23000155939e-05 -0.00128552366839 24.2438 23.8659 22.9624 22.0309 21.6434 21.1302 20.8016 20.6788 10.414091691
0.6678 0.000210199984406 -0.00119342366839 23.6702 23.1012 22.208 21.3442 20.9813 20.4282 20.0173 19.8427 10.2216784249
0.687476 -0.000327800015594 -0.00138992366839 26.4106 26.4144 26.0394 25.449 25.3905 25.2855 25.2296 25.3267 7.25274746259
0.687961 0.000366899984406 -0.00143062366839 25.8775 25.2645 24.1585 23.2068 22.9913 22.7143 22.5425 22.519 8.47874446628
0.687376 -0.000370700015594 -0.00117502366839 26.0797 25.8742 25.2435 24.4909 24.3116 24.0473 23.8837 23.8553 7.7935627691
0.714672 -0.000254000015594 -0.000872523668394 25.9338 25.2663 24.1241 23.1228 22.7437 22.2725 22.0132 21.9156 9.1834072789
0.707538 -0.000432000015594 -0.000963623668394 29.3688 28.2017 26.8447 25.8163 25.4186 24.9399 24.7124 24.6378 7.25998839365
0.688288 0.000605499984406 -0.000863123668394 24.1349 24.0589 23.7073 23.1563 23.065 22.8859 22.745 22.7422 9.1355653114
0.655636 -5.13000155939e-05 -0.000964023668394 29.9625 28.2234 26.7 25.6238 25.1414 24.5714 24.2836 24.1868 6.95027513389
0.703795 -0.000319900015594 -0.000723123668394 25.3442 24.6121 23.5779 22.6835 22.3063 21.7312 21.2622 21.0288 9.64785094733
0.691166 -9.67000155939e-05 -0.00120282366839 28.2065 26.5595 25.0779 24.0134 23.5461 22.9993 22.73 22.6404 8.04540499259
0.633484 0.000514399984406 -0.00116942366839 25.5127 25.233 24.6299 23.9483 23.8251 23.6057 23.4308 23.4187 7.49942593542
0.656252 0.000581399984406 -0.000744823668394 30.3035 28.6117 27.0845 25.9991 25.5255 24.9641 24.6671 24.5631 7.05359135234
0.706749 0.000132299984406 -0.00112262366839 25.6249 25.5522 25.0848 24.4035 24.1779 23.8311 23.6084 23.543 7.8249914783
0.691774 0.000507199984406 -0.000746123668394 25.1257 24.4346 23.3944 22.4575 22.0135 21.3446 20.8057 20.5396 9.78275394419
0.667898 0.000472799984406 -0.000850023668394 24.7908 24.5868 23.9001 23.0818 22.8129 22.4203 22.149 22.0679 9.19396035337
0.691331 4.00999844061e-05 -0.00135272366839 25.9461 25.653 24.9088 24.0798 23.8428 23.5206 23.3607 23.3357 6.66351123355
0.659051 0.000321199984406 -0.000301123668394 26.7495 25.2244 23.56 22.3859 21.8126 21.0757 20.5673 20.3406 10.1647802961
0.710522 0.000340799984406 7.46763316062e-05 26.355 26.1459 25.5033 24.7475 24.5453 24.2564 24.1043 24.0881 7.67926432227
0.670839 -0.000308900015594 -0.000426723668394 27.0254 26.8418 26.2397 25.4922 25.2482 24.9025 24.7281 24.6919 7.24677169037
0.702859 -0.000297900015594 0.000347616331606 25.6897 25.5486 24.9836 24.2576 24.0479 23.728 23.5184 23.4678 8.15933773597
0.681462 0.000110599984406 -0.000646323668394 25.161 24.709 23.9071 23.0759 22.7467 22.2656 21.9388 21.8139 9.4401244371
0.707511 0.000110299984406 -0.000173223668394 24.9661 24.7179 24.0496 23.265 23.0026 22.6099 22.3575 22.2786 8.70121667932
0.669461 0.000563899984406 0.000361146331606 26.3245 25.8482 24.9444 24.0707 23.7879 23.3797 23.1075 23.0161 8.00950919991
0.659258 -0.000433600015594 -0.000322623668394 26.2291 26.2185 25.8337 25.2312 25.1433 24.9964 24.9225 24.9914 6.99874643568
0.67657 0.000558899984406 0.000132776331606 27.7953 27.4635 26.6786 25.8455 25.5976 25.251 25.0514 25.0012 6.62654623046
0.656126 0.000561799984406 -0.000455523668394 27.3784 26.8399 25.8246 24.9017 24.5175 24.0265 23.7837 23.701 6.76647481509
0.681858 0.000632999984406 -0.000539223668394 28.3036 27.164 25.8434 24.817 24.4408 23.9905 23.7699 23.6985 8.1162598599
0.710551 -0.000107700015594 0.000346846331606 26.4047 26.278 25.7663 25.0955 24.9538 24.7179 24.5516 24.539 7.53988023881
0.660523 0.000625499984406 -2.13236683938e-05 28.2176 26.4657 24.9348 23.8399 23.3538 22.7845 22.487 22.3844 7.4314028194
0.68177 3.09998440606e-06 0.000140476331606 29.5306 28.1031 26.6659 25.6016 25.1805 24.6788 24.4228 24.327 7.41044065645
